0.0642,1062,424.831
0.0645,1063.83,424.616
0.0648,1065.67,424.402
0.0651,1067.51,424.189
0.0654,1069.35,423.977
0.0657,1071.2,423.767
0.066,1073.05,423.558
0.0663,1074.91,423.35
0.0666,1076.77,423.144
0.0669,1078.63,422.939
0.0672,1080.5,422.735
0.0675,1082.37,422.532
0.0678,1084.25,422.331
0.0681,1086.12,422.131
0.0684,1088.01,421.932
0.0687,1089.89,421.735
0.069,1091.78,421.538
0.0693,1093.68,421.344
0.0696,1095.58,421.15
0.0699,1097.48,420.958
0.0702,1099.39,420.767
0.0705,1101.3,420.577
0.0708,1103.21,420.388
0.0711,1105.13,420.201
0.0714,1107.05,420.015
0.0717,1108.98,419.831
0.072,1110.91,419.648
0.0723,1112.84,419.466
0.0726,1114.78,419.285
0.0729,1116.72,419.106
0.0732,1118.67,418.927
0.0735,1120.62,418.751
0.0738,1122.57,418.575
0.0741,1124.53,418.401
0.0744,1126.49,418.228
0.0747,1128.46,418.057
0.075,1130.43,417.886
0.0753,1132.4,417.717
0.0756,1134.38,417.55
0.0759,1136.36,417.383
0.0762,1138.35,417.218
0.0765,1140.34,417.054
0.0768,1142.33,416.892
0.0771,1144.33,416.731
0.0774,1146.34,416.571
0.0777,1148.34,416.413
0.078,1150.35,416.255
0.0783,1152.37,416.1
0.0786,1154.39,415.945
0.0789,1156.41,415.792
0.0792,1158.43,415.64
0.0795,1160.47,415.489
0.0798,1162.5,415.34
0.0801,1164.54,415.192
0.0804,1166.58,415.045
0.0807,1168.63,414.9
0.081,1170.68,414.756
0.0813,1172.74,414.613
0.0816,1174.8,414.472
0.0819,1176.86,414.332
0.0822,1178.93,414.193
0.0825,1181,414.056
0.0828,1183.08,413.92
0.0831,1185.16,413.785
0.0834,1187.24,413.652
0.0837,1189.33,413.52
0.084,1191.42,413.389
0.0843,1193.52,413.26
0.0846,1195.62,413.132
0.0849,1197.72,413.005
0.0852,1199.83,412.88
0.0855,1201.95,412.756
0.0858,1204.06,412.633
0.0861,1206.18,412.512
0.0864,1208.31,412.392
0.0867,1210.44,412.274
0.087,1212.58,412.156
0.0873,1214.71,412.04
0.0876,1216.86,411.926
0.0879,1219,411.813
0.0882,1221.15,411.701
0.0885,1223.31,411.59
0.0888,1225.47,411.481
0.0891,1227.63,411.374
0.0894,1229.8,411.267
0.0897,1231.97,411.162
0.09,1234.15,411.059
0.0903,1236.33,410.956
0.0906,1238.51,410.856
0.0909,1240.7,410.756
0.0912,1242.9,410.658
0.0915,1245.09,410.561
